# Selection : patch(inlet)
# Faces  :    12
# Area   :    3.600000e-02
# Time        	areaAverage(p)	areaAverage(U)
0             	2.264000e+01	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0001        	2.264000e+01	(1.511634e-08 3.182673e-06 3.747813e-18)
0.000219277   	2.264000e+01	(-3.011545e-08 1.818050e-06 4.472260e-18)
0.000361027   	2.264000e+01	(-3.548576e-08 3.715034e-06 5.313681e-18)
0.000530132   	2.264000e+01	(-2.876844e-08 5.746003e-06 6.339079e-18)
0.000731618   	2.264000e+01	(-2.598552e-08 8.013344e-06 7.552945e-18)
0.000969269   	2.264000e+01	(-2.424260e-08 1.065233e-05 8.908611e-18)
0.00125148    	2.264000e+01	(-2.279660e-08 1.376838e-05 1.057899e-17)
0.00158796    	2.264000e+01	(-2.145494e-08 1.747472e-05 1.261341e-17)
0.00198853    	2.264000e+01	(-2.014747e-08 2.188220e-05 1.501597e-17)
0.0024598     	2.264000e+01	(-1.885106e-08 2.706401e-05 1.766585e-17)
0.00299838    	2.264000e+01	(-1.757487e-08 3.298171e-05 2.018955e-17)
0.00363489    	2.264000e+01	(-1.630442e-08 3.997893e-05 2.386037e-17)
0.00434213    	2.264000e+01	(-1.498169e-08 4.774656e-05 2.651153e-17)
0.00515039    	2.264000e+01	(-1.355047e-08 5.662644e-05 3.029889e-17)
0.00612032    	2.264000e+01	(-1.195886e-08 6.729289e-05 3.635866e-17)
0.00709024    	2.264000e+01	(-1.034299e-08 7.792549e-05 3.635869e-17)
0.00806016    	2.264000e+01	(-8.715745e-09 8.854590e-05 3.635870e-17)
0.00903008    	2.264000e+01	(-7.088873e-09 9.916208e-05 3.635871e-17)
0.01          	2.264000e+01	(-5.474628e-09 1.097770e-04 3.635871e-17)
0.0111111     	2.264000e+01	(-3.749141e-09 1.219717e-04 4.165138e-17)
0.012381      	2.264000e+01	(-1.855497e-09 1.359204e-04 4.760157e-17)
0.0139048     	2.264000e+01	(3.116613e-10 1.526777e-04 5.712186e-17)
0.0154286     	2.264000e+01	(2.546325e-09 1.693823e-04 5.712189e-17)
0.0169524     	2.264000e+01	(4.793632e-09 1.860678e-04 5.712191e-17)
0.0184762     	2.264000e+01	(7.030733e-09 2.027466e-04 5.712192e-17)
0.02          	2.264000e+01	(9.254026e-09 2.194232e-04 5.712193e-17)
0.0216667     	2.264000e+01	(1.159116e-08 2.376981e-04 6.247709e-17)
0.0233333     	2.264000e+01	(1.394854e-08 2.559499e-04 6.247711e-17)
0.025         	2.264000e+01	(1.630569e-08 2.741935e-04 6.247712e-17)
0.0266667     	2.264000e+01	(1.865716e-08 2.924342e-04 6.247713e-17)
0.0283333     	2.264000e+01	(2.100036e-08 3.106740e-04 6.247713e-17)
0.03          	2.264000e+01	(2.333659e-08 3.289136e-04 6.247714e-17)
0.032         	2.264000e+01	(2.597420e-08 3.508838e-04 7.497250e-17)
0.034         	2.264000e+01	(2.868123e-08 3.728004e-04 7.497253e-17)
0.036         	2.264000e+01	(3.141905e-08 3.946977e-04 7.497255e-17)
0.038         	2.264000e+01	(3.416967e-08 4.165879e-04 7.497256e-17)
0.04          	2.264000e+01	(3.691110e-08 4.384758e-04 7.497257e-17)
0.042         	2.264000e+01	(3.964128e-08 4.603629e-04 7.497257e-17)
0.044         	2.264000e+01	(4.235594e-08 4.822498e-04 7.497258e-17)
0.046         	2.264000e+01	(4.505395e-08 5.041367e-04 7.497258e-17)
0.048         	2.264000e+01	(4.773180e-08 5.260237e-04 7.497259e-17)
0.05          	2.264000e+01	(5.038651e-08 5.479106e-04 7.497259e-17)
0.052         	2.264000e+01	(5.301451e-08 5.697976e-04 7.497260e-17)
0.054         	2.264000e+01	(5.561313e-08 5.916845e-04 7.497260e-17)
0.056         	2.264000e+01	(5.817641e-08 6.135714e-04 7.497261e-17)
0.058         	2.264000e+01	(6.070480e-08 6.354582e-04 7.497261e-17)
0.06          	2.264000e+01	(6.319898e-08 6.573450e-04 7.497262e-17)
0.062         	2.264000e+01	(6.565975e-08 6.792318e-04 7.497262e-17)
